StateAbbr,State,County,CountyFIPS,ARTHRITIS,CASTHMA,BPHIGH,CANCER,HIGHCHOL,KIDNEY,COPD,CHD,DIABETES,MHLTH,PHLTH,TEETHLOST,STROKE,TotalPopulation,GenderMajority,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomePerCap,IncomePerCapErr,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,MeanHealthCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment%_2019,Median Household Income_2019,% of State Median HH Income
GA,Georgia,Rabun,13241,34.1,9.3,38.8,9.3,40.4,4.1,11.4,10.8,15.7,13.9,16.5,18.1,5,16354,F,8126,8228,8.1,87.1,1.9,0.5,0.8,0,12891,39297,26942,3177,30.6,33.4,19.3,20.9,16.5,9.8,74.7,17,0.7,2.6,0.7,4.4,21.6,37.86,6259,75.5,13.3,11.2,0,3.5,46639,0.752849072
GA,Georgia,Randolph,13243,36.6,11.9,48.6,8.2,39.6,5.6,13.5,12.3,23,17,21,29.6,7.6,7206,F,3574,3632,1.7,36.2,59.7,0,1.4,0,5523,30640,19781,6047,63,27.7,19.7,20.2,9.5,22.9,61.9,25.1,0,4.6,2.4,6,21.4,32.97,2639,75.9,18.9,5.2,0,4.8,33505,0.540839387
GA,Georgia,Richmond,13245,25.3,10.6,38.5,6.1,33.1,3.7,8.5,7.6,15.9,15.6,15.5,21.4,4.6,201568,F,97435,104133,4.8,35.5,55.2,0.2,1.8,0.2,150995,39430,21464,673,37.5,29.9,22.5,26,9,12.6,80.9,9.7,1.7,3.5,2.2,2.1,20.5,35.33,78704,74.7,22,3.1,0.1,4.5,44810,0.723325262
GA,Georgia,Rockdale,13247,27.2,10.2,39.7,6.5,32.9,3.4,7.5,6.9,14.7,13.5,13.6,16.4,4.2,88482,F,41755,46727,10.2,34.6,51,0.1,2,0.2,62080,54175,24254,770,24.5,34.1,17.3,24.3,8.7,15.5,77,14.6,1.6,1,1.4,4.3,29.5,58.21,38732,75.5,19.1,5.2,0.2,3.8,60281,0.973058918
GA,Georgia,Schley,13249,30.3,10.2,38.8,7.5,36.9,3.7,10.1,8.7,15.4,15.4,16,20.3,4.6,5168,F,2496,2672,5,67.2,27.5,0,0,0,3790,41267,19761,1847,31.9,31.2,16.3,21.5,13.5,17.5,87.4,7.5,0.1,1.2,1.1,2.8,24.1,43.99,2027,70.1,26.2,3.7,0,3.9,51129,0.825326877
GA,Georgia,Screven,13251,32.1,10.6,41.8,7.4,37,4.1,10.6,9.3,17.2,15.5,16.9,21.9,5.3,14037,F,6896,7141,1.8,54.5,41.7,0.3,0.5,0,10870,36556,20255,1426,36.4,27.8,16,22.6,11.6,22,84.8,10,0,1.6,0.8,2.8,31.1,52.35,5631,77.5,16.2,6.1,0.2,5.4,42331,0.683309120
GA,Georgia,Seminole,13253,33.9,10.3,43.3,8.4,39,4.3,11.2,10.3,17.1,14.9,17.1,21.1,5.5,8549,F,4003,4546,3,61.6,33.7,0,1,0,6601,33999,21257,2743,41.3,34.1,21.9,18.7,7.2,18.2,82.1,10.9,0.9,1.9,1.9,2.3,22.4,36.36,2853,74.9,16.3,8.5,0.2,4.4,38618,0.623373688
GA,Georgia,Spalding,13255,29.8,10.5,39,7.2,36,3.9,10.3,9,15.7,15.6,16.4,21.3,4.9,64192,F,31075,33117,4.3,59.4,33.3,0.4,0.9,0,47623,42398,21675,1192,33.7,27.9,17.2,25.6,10.5,18.8,87,8.1,0.4,1.1,1.6,1.7,29,52.05,24789,80,16.1,3.6,0.4,4,49237,0.794786118
GA,Georgia,Stephens,13257,32,9.8,37.1,7.8,37,3.5,9.8,8.5,13.3,14.8,15,18,4.2,25625,F,11930,13695,3.2,82.8,11.7,0.3,0.4,0,19445,39756,21657,2026,24.6,28.4,20.4,20.9,9.8,20.4,85.7,7.3,0,2.5,0.5,4,20.9,36.22,10114,78.4,16.1,5.5,0,3.9,45416,0.733107345
GA,Georgia,Stewart,13259,25.8,9.7,40.1,5.4,34.9,4.2,10,9,17.4,16.7,18.1,32.4,5.4,5832,M,3618,2214,20.3,25.8,50.3,0.2,2.2,0,3239,22413,14954,1599,62.4,31.6,18,22.6,6.9,20.9,85.7,10.3,0,3.2,0,0.8,26.8,41.75,1369,62.7,36.2,1.1,0,4.2,34566,0.557966102
